Node,forT,P,Q
21950020,92,-0.0789189107,-0.0251478424
21950021,89,-0.2451325034,-0.0803158795
21950021,90,-0.2398312316,-0.0786917620
21950021,91,-0.2348899598,-0.0770676445
21950021,92,-0.2299486880,-0.0754435271
21950022,89,-0.0024035329,0.0000000000
21950022,90,-0.0024054025,0.0000000000
21950022,91,-0.0024074734,0.0000000000
21950022,92,-0.0024097005,0.0000000000
21950023,89,-0.0822852789,-0.0267719598
21950023,90,-0.0806381883,-0.0262305873
21950023,91,-0.0789910977,-0.0256892148
21950023,92,-0.0773440071,-0.0251478424
21950024,89,-0.0026638772,0.0000000000
21950024,90,-0.0026655558,0.0000000000
21950024,91,-0.0026674773,0.0000000000
21950024,92,-0.0026696011,0.0000000000
21950025,89,0.0000000000,0.0000000000
21950025,90,0.0000000000,0.0000000000
21950025,91,0.0000000000,0.0000000000
21950025,92,0.0000000000,0.0000000000
21950026,89,-0.0835897972,-0.0267719598
21950026,90,-0.0819441382,-0.0262305873
21950026,91,-0.0802986616,-0.0256892148
21950026,92,-0.0786533331,-0.0251478424
21950027,89,-0.0049409972,0.0000000000
21950027,90,-0.0049439647,0.0000000000
21950027,91,-0.0049473240,0.0000000000
21950027,92,-0.0049510038,0.0000000000
21950028,89,-0.0814519456,-0.0267719598
21950028,90,-0.0798048550,-0.0262305873
21950028,91,-0.0781577644,-0.0256892148
21950028,92,-0.0765106738,-0.0251478424
21950029,89,0.0000000000,0.0000000000
21950029,90,0.0000000000,0.0000000000
21950029,91,0.0000000000,0.0000000000
21950029,92,-0.0002933333,0.0000000000
21950030,89,-0.0037080512,0.0000000000
21950030,90,-0.0037113524,0.0000000000
